Freq.	V(vout)
1.86208713666286e+002	2.03025617211730e+000,-7.55889404585065e-004
1.90546071796323e+002	2.03025616505423e+000,-7.73496329756497e-004
1.94984459975803e+002	2.03025615765830e+000,-7.91513372836013e-004
1.99526231496887e+002	2.03025614991382e+000,-8.09950086692032e-004
2.04173794466952e+002	2.03025614180433e+000,-8.28816246708552e-004
2.08929613085403e+002	2.03025613331266e+000,-8.48121855965752e-004
2.13796208950222e+002	2.03025612442081e+000,-8.67877150545555e-004
2.18776162394954e+002	2.03025611510987e+000,-8.88092604959846e-004
2.23872113856832e+002	2.03025610536013e+000,-9.08778937700748e-004
2.29086765276776e+002	2.03025609515091e+000,-9.29947116926445e-004
2.34422881531991e+002	2.03025608446054e+000,-9.51608366276201e-004
2.39883291901947e+002	2.03025607326633e+000,-9.73774170821029e-004
2.45470891568501e+002	2.03025606154458e+000,-9.96456283151947e-004
2.51188643150956e+002	2.03025604927038e+000,-1.01966672961383e-003
2.57039578276885e+002	2.03025603641772e+000,-1.04341781667931e-003
2.63026799189536e+002	2.03025602295933e+000,-1.06772213747582e-003
2.69153480392690e+002	2.03025600886668e+000,-1.09259257845985e-003
2.75422870333815e+002	2.03025599410985e+000,-1.11804232625365e-003
2.81838293126443e+002	2.03025597865755e+000,-1.14408487463345e-003
2.88403150312659e+002	2.03025596247702e+000,-1.17073403168405e-003
2.95120922666637e+002	2.03025594553392e+000,-1.19800392712249e-003
3.01995172040200e+002	2.03025592779232e+000,-1.22590901978698e-003
3.09029543251357e+002	2.03025590921457e+000,-1.25446410530513e-003
3.16227766016836e+002	2.03025588976129e+000,-1.28368432393649e-003
3.23593656929626e+002	2.03025586939121e+000,-1.31358516860222e-003
3.31131121482589e+002	2.03025584806110e+000,-1.34418249309889e-003
3.38844156139200e+002	2.03025582572574e+000,-1.37549252050292e-003
3.46736850452529e+002	2.03025580233775e+000,-1.40753185177396e-003
3.54813389233573e+002	2.03025577784751e+000,-1.44031747455525e-003
3.63078054770099e+002	2.03025575220309e+000,-1.47386677218124e-003
3.71535229097170e+002	2.03025572535009e+000,-1.50819753289551e-003
3.80189396320558e+002	2.03025569723153e+000,-1.54332795927989e-003
3.89045144994278e+002	2.03025566778780e+000,-1.57927667790588e-003
3.98107170553494e+002	2.03025563695642e+000,-1.61606274921357e-003
4.07380277804110e+002	2.03025560467200e+000,-1.65370567761210e-003
4.16869383470332e+002	2.03025557086607e+000,-1.69222542182596e-003
4.26579518801589e+002	2.03025553546692e+000,-1.73164240547429e-003
4.36515832240163e+002	2.03025549839945e+000,-1.77197752790031e-003
4.46683592150960e+002	2.03025545958504e+000,-1.81325217525258e-003
4.57088189614872e+002	2.03025541894138e+000,-1.85548823182241e-003
4.67735141287195e+002	2.03025537638223e+000,-1.89870809164907e-003
4.78630092322635e+002	2.03025533181734e+000,-1.94293467038941e-003
4.89778819368443e+002	2.03025528515216e+000,-1.98819141747362e-003
5.01187233627268e+002	2.03025523628772e+000,-2.03450232853113e-003
5.12861383991361e+002	2.03025518512039e+000,-2.08189195811788e-003
5.24807460249769e+002	2.03025513154159e+000,-2.13038543273369e-003
5.37031796370249e+002	2.03025507543771e+000,-2.18000846414172e-003
5.49540873857620e+002	2.03025501668974e+000,-2.23078736300525e-003
5.62341325190345e+002	2.03025495517305e+000,-2.28274905283263e-003
5.75439937337152e+002	2.03025489075718e+000,-2.33592108425530e-003
5.88843655355584e+002	2.03025482330549e+000,-2.39033164963227e-003
6.02559586074353e+002	2.03025475267489e+000,-2.44600959800031e-003
6.16595001861477e+002	2.03025467871560e+000,-2.50298445036566e-003
6.30957344480188e+002	2.03025460127068e+000,-2.56128641535997e-003
6.45654229034650e+002	2.03025452017591e+000,-2.62094640525154e-003
6.60693448007591e+002	2.03025443525926e+000,-2.68199605233699e-003
6.76082975391976e+002	2.03025434634060e+000,-2.74446772571373e-003
6.91830970918931e+002	2.03025425323136e+000,-2.80839454843567e-003
7.07945784384132e+002	2.03025415573400e+000,-2.87381041508484e-003
7.24435960074984e+002	2.03025405364174e+000,-2.94075000972816e-003
7.41310241300911e+002	2.03025394673802e+000,-3.00924882431597e-003
7.58577575029177e+002	2.03025383479608e+000,-3.07934317749562e-003
7.76247116628685e+002	2.03025371757849e+000,-3.15107023386449e-003
7.94328234724275e+002	2.03025359483659e+000,-3.22446802367871e-003
8.12830516164092e+002	2.03025346631006e+000,-3.29957546300650e-003
8.31763771102664e+002	2.03025333172626e+000,-3.37643237437225e-003
8.51138038202369e+002	2.03025319079973e+000,-3.45507950785743e-003
8.70963589956073e+002	2.03025304323153e+000,-3.53555856271388e-003
8.91250938133738e+002	2.03025288870865e+000,-3.61791220946240e-003
9.12010839355902e+002	2.03025272690335e+000,-3.70218411251973e-003
9.33254300796983e+002	2.03025255747239e+000,-3.78841895334825e-003
9.54992586021428e+002	2.03025238005642e+000,-3.87666245413921e-003
9.77237220955802e+002	2.03025219427908e+000,-3.96696140205726e-003
9.99999999999991e+002	2.03025199974633e+000,-4.05936367404022e-003
1.02329299228075e+003	2.03025179604555e+000,-4.15391826217983e-003
1.04712854805089e+003	2.03025158274464e+000,-4.25067529970088e-003
1.07151930523760e+003	2.03025135939119e+000,-4.34968608752912e-003
1.09647819614318e+003	2.03025112551141e+000,-4.45100312149411e-003
1.12201845430195e+003	2.03025088060923e+000,-4.55468012015598e-003
1.14815362149687e+003	2.03025062416517e+000,-4.66077205328184e-003
1.17489755493952e+003	2.03025035563528e+000,-4.76933517098586e-003
1.20226443461740e+003	2.03025007440382e+000,-4.88042703340522e-003
1.23026877081237e+003	2.03024977996667e+000,-4.99410654179103e-003
1.25892541179416e+003	2.03024947165315e+000,-5.11043396886394e-003
1.28824955169312e+003	2.03024914880927e+000,-5.22947099133967e-003
1.31825673855640e+003	2.03024881075023e+000,-5.35128072248755e-003
1.34896288259164e+003	2.03024845675899e+000,-5.47592774557177e-003
1.38038426460287e+003	2.03024808608467e+000,-5.60347814809638e-003
1.41253754462274e+003	2.03024769794102e+000,-5.73399955683400e-003
1.44543977074591e+003	2.03024729150476e+000,-5.86756117366544e-003
1.47910838816819e+003	2.03024686591376e+000,-6.00423381227469e-003
1.51356124843619e+003	2.03024642026529e+000,-6.14408993566736e-003
1.54881661891247e+003	2.03024595361410e+000,-6.28720369458899e-003
1.58489319246110e+003	2.03024546497034e+000,-6.43365096682957e-003
1.62181009735891e+003	2.03024495329754e+000,-6.58350939742533e-003
1.65958690743754e+003	2.03024441751038e+000,-6.73685843982954e-003
1.69824365246173e+003	2.03024385647240e+000,-6.89377939801411e-003
1.73780082874936e+003	2.03024326899354e+000,-7.05435546956605e-003
1.77827941003891e+003	2.03024265382771e+000,-7.21867178976760e-003
1.81970085860997e+003	2.03024200967007e+000,-7.38681547673017e-003
1.86208713666285e+003	2.03024133515426e+000,-7.55887567755983e-003
1.90546071796323e+003	2.03024062884957e+000,-7.73494361559771e-003
1.94984459975803e+003	2.03023988925784e+000,-7.91511263876123e-003
1.99526231496886e+003	2.03023911481029e+000,-8.09947826902444e-003
2.04173794466951e+003	2.03023830386424e+000,-8.28813825301522e-003
2.08929613085402e+003	2.03023745469958e+000,-8.48119261382580e-003
2.13796208950221e+003	2.03023656551511e+000,-8.67874370401587e-003
2.18776162394953e+003	2.03023563442478e+000,-8.88089625983004e-003
2.23872113856832e+003	2.03023465945364e+000,-9.08775745670823e-003
2.29086765276775e+003	2.03023363853366e+000,-9.29943696606288e-003
2.34422881531990e+003	2.03023256949935e+000,-9.51604701338814e-003
2.39883291901947e+003	2.03023145008314e+000,-9.73770243771685e-003
2.45470891568501e+003	2.03023027791067e+000,-9.96452075244599e-003
2.51188643150955e+003	2.03022905049560e+000,-1.01966222076131e-002
2.57039578276884e+003	2.03022776523444e+000,-1.04341298535864e-002
2.63026799189535e+003	2.03022641940102e+000,-1.06771696062391e-002
2.69153480392689e+003	2.03022501009452e+000,-1.09258703133286e-002
2.75422870333814e+003	2.03022353441806e+000,-1.11803638240408e-002
2.81838293126442e+003	2.03022198919543e+000,-1.14407850568707e-002
2.88403150312658e+003	2.03022037114901e+000,-1.17072720723978e-002
2.95120922666635e+003	2.03021867684679e+000,-1.19799661460237e-002
3.01995172040198e+003	2.03021690269496e+000,-1.22590118428523e-002
3.09029543251356e+003	2.03021504493037e+000,-1.25445570941755e-002
3.16227766016835e+003	2.03021309961251e+000,-1.28367532758590e-002
3.23593656929625e+003	2.03021106261518e+000,-1.31357552884400e-002
3.31131121482588e+003	2.03020892961769e+000,-1.34417216391684e-002
3.38844156139199e+003	2.03020669609576e+000,-1.37548145259026e-002
3.46736850452528e+003	2.03020435731189e+000,-1.40751999229689e-002
3.54813389233572e+003	2.03020190830528e+000,-1.44030476690269e-002
3.63078054770097e+003	2.03019934383522e+000,-1.47385315564878e-002
3.71535229097168e+003	2.03019665855466e+000,-1.50818294252691e-002
3.80189396320557e+003	2.03019384672173e+000,-1.54331232542733e-002
3.89045144994276e+003	2.03019090237231e+000,-1.57925992594087e-002
3.98107170553493e+003	2.03018781926117e+000,-1.61604479916929e-002
4.07380277804108e+003	2.03018459084880e+000,-1.65368644380448e-002
4.16869383470331e+003	2.03018121028750e+000,-1.69220481244104e-002
4.26579518801588e+003	2.03017767040683e+000,-1.73162032213260e-002
4.36515832240161e+003	2.03017396365233e+000,-1.77195386513305e-002
4.46683592150958e+003	2.03017008225410e+000,-1.81322682015701e-002
4.57088189614870e+003	2.03016601793332e+000,-1.85546106336482e-002
4.67735141287193e+003	2.03016176206929e+000,-1.89867898014055e-002
4.78630092322633e+003	2.03015730563509e+000,-1.94290347686617e-002
4.89778819368441e+003	2.03015263917838e+000,-1.98815799303135e-002
5.01187233627267e+003	2.03014775275521e+000,-2.03446651355743e-002
5.12861383991359e+003	2.03014263609368e+000,-2.08185358170868e-002
5.24807460249767e+003	2.03013727829495e+000,-2.13034431169835e-002
5.37031796370247e+003	2.03013166799493e+000,-2.17996440218978e-002
5.49540873857618e+003	2.03012579329401e+000,-2.23074014980463e-002
5.62341325190343e+003	2.03011964168561e+000,-2.28269846294372e-002
5.75439937337150e+003	2.03011320021443e+000,-2.33586687625335e-002
5.88843655355582e+003	2.03010645517184e+000,-2.39027356475635e-002
6.02559586074351e+003	2.03009939220537e+000,-2.44594735890837e-002
6.16595001861475e+003	2.03009199642681e+000,-2.50291776003251e-002
6.30957344480186e+003	2.03008425210356e+000,-2.56121495543848e-002
6.45654229034648e+003	2.03007614280995e+000,-2.62086983462872e-002
6.60693448007588e+003	2.03006765130008e+000,-2.68191400542554e-002
6.76082975391974e+003	2.03005875965605e+000,-2.74437981094191e-002
6.91830970918928e+003	2.03004944892659e+000,-2.80830034606355e-002
7.07945784384129e+003	2.03003969945637e+000,-2.87370947551932e-002
7.24435960074981e+003	2.03002949052100e+000,-2.94064185113895e-002
7.41310241300908e+003	2.03001880042167e+000,-3.00913293032374e-002
7.58577575029174e+003	2.03000760653155e+000,-3.07921899488098e-002
7.76247116628682e+003	2.02999588515541e+000,-3.15093716993969e-002
7.94328234724272e+003	2.02998361133675e+000,-3.22432544351669e-002
8.12830516164089e+003	2.02997075914434e+000,-3.29942268577017e-002
8.31763771102661e+003	2.02995730124670e+000,-3.37626867073655e-002
8.51138038202366e+003	2.02994320914722e+000,-3.45490409644599e-002
8.70963589956070e+003	2.02992845288903e+000,-3.53537060610607e-002
8.91250938133734e+003	2.02991300122228e+000,-3.61771081046048e-002
9.12010839355898e+003	2.02989682142247e+000,-3.70196830986932e-002
9.33254300796979e+003	2.02987987908246e+000,-3.78818771682337e-002
9.54992586021424e+003	2.02986213831666e+000,-3.87641467995559e-002
9.77237220955798e+003	2.02984356154643e+000,-3.96669590760808e-002
9.99999999999987e+003	2.02982410930493e+000,-4.05907919196023e-002
1.02329299228074e+004	2.02980374033820e+000,-4.15361343446997e-002
1.04712854805089e+004	2.02978241147151e+000,-4.25034867130745e-002
1.07151930523759e+004	2.02976007747178e+000,-4.34933609933771e-002
1.09647819614317e+004	2.02973669097462e+000,-4.45062810289222e-002
1.12201845430195e+004	2.02971220238406e+000,-4.55427828105692e-002
1.14815362149687e+004	2.02968655976738e+000,-4.66034147558039e-002
1.17489755493951e+004	2.02965970874504e+000,-4.76887379940477e-002
1.20226443461740e+004	2.02963159237547e+000,-4.87993266583178e-002
1.23026877081237e+004	2.02960215098822e+000,-4.99357681818228e-002
